Date,Open,High,Low,Close,Volume
10/01/2012,200.65,200.65,200.65,200.65,0
09/28/2012,196.95,196.95,196.95,196.95,0
09/27/2012,197.35,197.35,197.35,197.35,0
09/26/2012,192.9,192.9,192.9,192.9,0
09/25/2012,196.45,196.45,196.45,196.45,0
09/24/2012,195.25,195.25,195.25,195.25,0
09/21/2012,196.25,196.25,196.25,196.25,0
09/20/2012,191.15,191.15,191.15,191.15,0
09/19/2012,196.15,196.15,196.15,196.15,0
09/18/2012,199.35,199.35,199.35,199.35,0
09/17/2012,197.65,197.65,197.65,197.65,0
09/14/2012,201.7,201.7,201.7,201.7,0
09/13/2012,199.25,199.25,199.25,199.25,0
09/12/2012,198.8,198.8,198.8,198.8,0
09/11/2012,198.9,198.9,198.9,198.9,0
09/10/2012,195.1,195.1,195.1,195.1,0
09/07/2012,184.95,184.95,184.95,184.95,0
09/06/2012,181.95,182.25,181.95,181.95,0
09/05/2012,184.55,184.55,184.55,184.55,0
09/04/2012,189,189,189,189,0
08/31/2012,187.6,187.6,187.6,187.6,0
08/30/2012,187.05,187.05,187.05,187.05,0
08/29/2012,189.2,189.2,189.2,189.2,0
08/28/2012,190.5,190.5,190.5,190.5,0
08/27/2012,190.3,190.3,190.3,190.3,0
08/24/2012,186.1,186.1,186.1,186.1,0
08/23/2012,185.2,185.2,185.1,185.2,0
08/22/2012,185.2,185.2,185.2,185.2,0
08/21/2012,187.4,187.4,187.4,187.4,0
08/20/2012,187.7,187.7,187.7,187.7,0
08/17/2012,187.05,187.05,187.05,187.05,0
08/16/2012,185.95,189.1,185.95,185.95,0
08/15/2012,189.1,189.1,189.1,189.1,0
08/14/2012,187.55,187.55,187.55,187.55,0
08/13/2012,189.35,189.35,189.35,189.35,0
08/10/2012,189.95,189.95,189.95,189.95,0
08/09/2012,189.75,189.75,189.75,189.75,0
08/08/2012,192.3,192.3,192.3,192.3,0
08/07/2012,194.4,194.4,194.4,194.4,0
08/06/2012,197.55,197.55,197.55,197.55,0
08/03/2012,196.4,196.4,196.4,196.4,0
08/02/2012,194,194,194,194,0
08/01/2012,197.3,197.3,197.25,197.3,0
